id,host_id,host_perfil,regimen,cesion_entera,estado_actividad,sujeto_a_ley_vut,motivo_exclusion,anuncios_del_anfitrion,last_review,neighbourhood_group,neighbourhood,room_type,property_type,accommodates,bedrooms,minimum_nights,uso_turistico,borde_31_noches,licencia_regional,vivienda_id,anuncios_de_la_vivienda,es_repeticion,precio_anuncio,precio_por_plaza,precio_plaza_anual,banda_plaza,factor_temporada,number_of_reviews_ltm,availability_365,license,situacion,sujeto_a_vut,sin_licencia,actividad_reciente
188267,366654.0,solo_con_licencia,sin_declarar,True,activo,True,,2.0,2026-06-07,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,6.0,3.0,2.0,True,False,hutb-005119,anuncio:188267,1,False,612.99,102.16,85.98,€€€,1.188,6,289,Barcelona - Regional registration number<br />hutb-005119<br /><br />Spain - National registration number<br />ESFCTU00000805400013570700000000000000HUTB-005119-946,licencia_verificada,True,False,True
196021,953719.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,2.0,2026-06-06,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,Entire rental unit,8.0,4.0,1.0,True,False,HUTB-005067,HUTB-005067,1,False,648.0,81.0,68.18,€€,1.188,52,286,Barcelona - Regional registration number<br />HUTB-005067<br /><br />Spain - National registration number<br />ESFCTU00000805600003287100000000000000000HUTB-0050670,licencia_verificada,True,False,True
206122,1013855.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,4.0,2026-05-31,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,4.0,2.0,2.0,True,False,HUTB-004315,HUTB-004315,1,False,183.5,45.88,38.62,€,1.188,44,69,Spain - National registration number<br />ESFCTU00000806600003878000000000000000000HUTB-0043159<br /><br />Barcelona - Regional registration number<br />HUTB-004315,licencia_verificada,True,False,True
206167,1014050.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2025-08-31,Sants-Montjuïc,el Poble Sec,Entire home/apt,Entire rental unit,2.0,1.0,3.0,True,False,HUTB-009804,HUTB-009804,1,False,187.33,93.66,78.83,€€€,1.188,8,14,Barcelona - Regional registration number<br />HUTB-009804<br /><br />Spain - National registration number<br />ESFCTU00000806900003703600000000000000HUTB-009804-558,licencia_verificada,True,False,False
209673,1033366.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-22,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,4.0,2.0,1.0,True,False,HUTB-010932,HUTB-010932,1,False,202.0,50.5,42.5,€€,1.188,7,80,Spain - National registration number<br />ESFCTU00000806600040818700000000000000000HUTB-0109321<br /><br />Barcelona - Regional registration number<br />HUTB-010932,licencia_verificada,True,False,True
234375,1227290.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-08,Eixample,el Fort Pienc,Entire home/apt,Entire rental unit,3.0,1.0,3.0,True,False,HUTB-003754,HUTB-003754,1,False,214.98,71.66,60.31,€€,1.188,28,238,Barcelona - Regional registration number<br />HUTB-003754<br /><br />Spain - National registration number<br />ESFCTU00000807300001897100000000000000000HUTB-0037545,licencia_verificada,True,False,True
252232,1298586.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,5.0,2026-03-25,Sant Martí,Sant Martí de Provençals,Entire home/apt,Entire rental unit,5.0,3.0,2.0,True,False,HUTB-009465,HUTB-009465,1,False,332.5,66.5,55.97,€€,1.188,2,171,Barcelona - Regional registration number<br />HUTB-009465<br /><br />Spain - National registration number<br />ESFCTU00000806200026971100000000000000000HUTB-0094652,licencia_verificada,True,False,True
268017,1405013.0,mixto,vivienda_uso_turistico,True,activo,True,,15.0,2026-06-22,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,6.0,3.0,2.0,True,False,HUTB-004071,HUTB-004071,3,False,550.0,91.67,77.16,€€€,1.188,15,246,Barcelona - Regional registration number<br />HUTB-004071<br /><br />Spain - National registration number<br />ESFCTU00D108054000208203000000000000000000HUTB0040714,licencia_verificada,True,False,True
268022,1405013.0,mixto,vivienda_uso_turistico,True,activo,True,,15.0,2026-06-19,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,6.0,3.0,2.0,True,False,HUTB-004072,HUTB-004072,1,False,567.5,94.58,79.6,€€€,1.188,47,247,Barcelona - Regional registration number<br />HUTB-004072<br /><br />Spain - National registration number<br />ESFCTU00B108054000208203000000000000000000HUTB0040723,licencia_verificada,True,False,True
269467,1411775.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,2.0,2026-06-09,Eixample,la Sagrada Família,Entire home/apt,Entire condo,2.0,,7.0,True,False,HUTB-001129,HUTB-001129,1,False,227.43,113.72,95.71,€€€,1.188,13,322,Barcelona - Regional registration number<br />HUTB-001129<br /><br />Spain - National registration number<br />ESFCTU00000807300027532900000000000000000HUTB-0011295,licencia_verificada,True,False,True
272282,1425070.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-19,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,Entire rental unit,8.0,3.0,1.0,True,False,HUTB003208,HUTB003208,1,False,570.67,71.33,60.04,€€,1.188,17,282,Barcelona - Regional registration number<br />HUTB003208<br /><br />Spain - National registration number<br />ESFCTU0000080560006429570000000000000000HUTB003208026,licencia_verificada,True,False,True
273229,1429552.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-08,Eixample,Sant Antoni,Entire home/apt,Entire rental unit,2.0,1.0,1.0,True,False,HUTB-004121,HUTB-004121,1,False,173.33,86.66,72.94,€€€,1.188,23,82,Barcelona - Regional registration number<br />HUTB-004121<br /><br />Spain - National registration number<br />ESFCTU000008069000211788000000000000000000HUTB0041211,licencia_verificada,True,False,True
275336,1435464.0,mixto,vivienda_uso_turistico,True,activo,True,,14.0,2026-06-05,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,Entire condo,6.0,3.0,1.0,True,False,HUTB-012040,HUTB-012040,1,False,338.0,56.33,47.41,€€,1.188,12,250,Barcelona - Regional registration number<br />HUTB-012040<br /><br />Spain - National registration number<br />ESFCTU00000806700027397300000000000000000HUTB-0120405,licencia_verificada,True,False,True
275346,1435464.0,mixto,vivienda_uso_turistico,True,activo,True,,14.0,2026-05-18,Sarrià-Sant Gervasi,Sarrià,Entire home/apt,Entire condo,6.0,3.0,1.0,True,False,HUTB-012910,HUTB-012910,1,False,404.6,67.43,56.75,€€,1.188,19,265,Barcelona - Regional registration number<br />HUTB-012910<br /><br />Spain - National registration number<br />ESFCTU00000806100005868400000000000000000000000000006,licencia_verificada,True,False,True
283231,1475411.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-19,Sant Martí,el Parc i la Llacuna del Poblenou,Entire home/apt,Entire rental unit,4.0,1.0,1.0,True,False,HUTB-005731,HUTB-005731,1,False,288.0,72.0,60.6,€€,1.188,29,152,Barcelona - Regional registration number<br />HUTB-005731<br /><br />Spain - National registration number<br />ESFCTU00000811900010046600000000000000000HUTB-0057316,licencia_verificada,True,False,True
295200,612665.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,5.0,2026-06-10,Gràcia,la Vila de Gràcia,Entire home/apt,Entire loft,3.0,1.0,2.0,True,False,HUTB-012627,HUTB-012627,1,False,,,,,1.188,15,107,Barcelona - Regional registration number<br />HUTB-012627<br /><br />Spain - National registration number<br />ESFCTU000008057000414926000000000000000000HUTB0126273,licencia_verificada,True,False,True
315769,1994100.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,3.0,2026-06-23,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,Entire home,5.0,2.0,1.0,True,False,HUTB-002063,HUTB-002063,1,False,246.0,49.2,41.41,€€,1.188,18,169,Spain - National registration number<br />ESFCTU00000805800051788400000000000000000HUTB-0020639<br /><br />Barcelona - Regional registration number<br />HUTB-002063,licencia_verificada,True,False,True
320506,1642180.0,solo_con_licencia,sin_declarar,True,activo,True,,1.0,2026-06-07,Sants-Montjuïc,el Poble Sec,Entire home/apt,Entire rental unit,2.0,1.0,3.0,True,False,hutb-004655,anuncio:320506,1,False,161.67,80.83,68.03,€€,1.188,11,148,Barcelona - Regional registration number<br />hutb-004655<br /><br />Spain - National registration number<br />ESFCTU00000806900032573700000000000000000HUTB-0046550,licencia_verificada,True,False,True
330766,1687524.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,2.0,2026-06-22,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,3.0,1.0,3.0,True,False,HUTB-003905,HUTB-003905,1,False,208.0,69.33,58.35,€€,1.188,33,27,Barcelona - Regional registration number<br />HUTB-003905<br /><br />Spain - National registration number<br />ESFCTU00000805400020574500000000000000HUTB-003905-132,licencia_verificada,True,False,True
330957,893805.0,mixto,vivienda_uso_turistico,True,activo,True,,12.0,2026-06-22,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,5.0,3.0,1.0,True,False,HUTB-010749,HUTB-010749,1,False,388.0,77.6,65.31,€€,1.188,68,326,Barcelona - Regional registration number<br />HUTB-010749<br /><br />Spain - National registration number<br />ESFCTU000008054000303410000000000000000HUTB-010749500,licencia_verificada,True,False,True
337755,1716315.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,2.0,2026-05-29,Sant Martí,la Vila Olímpica del Poblenou,Entire home/apt,Entire condo,4.0,1.0,1.0,True,False,HUTB-002887,HUTB-002887,1,False,,,,,1.188,18,271,Barcelona - Regional registration number<br />HUTB-002887<br /><br />Spain - National registration number<br />ESFCTU00000807200063858500000000000000HUTB-002887-057,licencia_verificada,True,False,True
343864,1744516.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,35.0,2026-05-28,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,4.0,3.0,1.0,True,False,HUTB-009898,HUTB-009898,1,False,207.5,51.88,43.67,€€,1.188,14,112,Spain - National registration number<br />ESHFTU00000805700043268500700000000000000HUTB-0098986<br /><br />Barcelona - Regional registration number<br />HUTB-009898,licencia_verificada,True,False,True
343866,1744516.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,35.0,2026-06-08,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,4.0,3.0,1.0,True,False,HUTB-008572,HUTB-008572,1,False,207.5,51.88,43.67,€€,1.188,40,64,Spain - National registration number<br />ESHFTU00000805700043268500400000000000000HUTB-0085729<br /><br />Barcelona - Regional registration number<br />HUTB-008572,licencia_verificada,True,False,True
351395,1435464.0,mixto,vivienda_uso_turistico,True,activo,True,,14.0,2026-04-08,Eixample,el Fort Pienc,Entire home/apt,Entire condo,6.0,3.0,1.0,True,False,HUTB-009578,HUTB-009578,1,False,315.0,52.5,44.19,€€,1.188,20,263,Barcelona - Regional registration number<br />HUTB-009578<br /><br />Spain - National registration number<br />ESFCTU00000805400028335400000000000000000HUTB-0085544,licencia_no_encontrada,True,False,True
352772,1786501.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-21,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,Entire rental unit,4.0,2.0,2.0,True,False,HUTB-005271,HUTB-005271,1,False,223.0,55.75,46.92,€€,1.188,46,101,Spain - National registration number<br />ESFCTU000008067000117406000000000000000000HUTB0052712<br /><br />Barcelona - Regional registration number<br />HUTB-005271,licencia_verificada,True,False,True
357576,1809535.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,2.0,2026-06-14,Gràcia,la Vila de Gràcia,Entire home/apt,Entire home,3.0,3.0,1.0,True,False,HUTB-001176,HUTB-001176,2,False,271.6,90.53,76.2,€€€,1.188,47,276,Spain - National registration number<br />ESFCTU00000806600051969200000000000000HUTB-001176-358<br /><br />Barcelona - Regional registration number<br />HUTB-001176,licencia_verificada,True,False,True
359841,1820272.0,mixto,vivienda_uso_turistico,True,activo,True,,5.0,2026-06-14,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,Entire rental unit,4.0,2.0,1.0,True,False,HUTB-003912,HUTB-003912,1,False,176.88,44.22,37.22,€,1.188,55,95,Spain - National registration number<br />ESFCTU00000807200035647200000000000000000HUTB-0039129<br /><br />Barcelona - Regional registration number<br />HUTB-003912,licencia_verificada,True,False,True
364030,1839136.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-07,Eixample,Sant Antoni,Entire home/apt,Entire condo,4.0,2.0,2.0,True,False,HUTB-001094,HUTB-001094,1,False,221.77,55.44,46.66,€€,1.188,37,284,Barcelona - Regional registration number<br />HUTB-001094,licencia_verificada,True,False,True
365911,1260560.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,4.0,2026-05-20,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,Entire rental unit,5.0,3.0,2.0,True,False,HUTB-004112,HUTB-004112,1,False,392.33,78.47,66.05,€€,1.188,14,314,Spain - National registration number<br />ESFCTU00000806700052893600000000000000000HUTB-0041122<br /><br />Barcelona - Regional registration number<br />HUTB-004112,licencia_verificada,True,False,True
393717,1968590.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-06,Ciutat Vella,el Raval,Entire home/apt,Entire rental unit,4.0,2.0,2.0,True,False,HUTB-002975,HUTB-002975,1,False,186.39,46.6,39.22,€,1.188,44,229,Spain - National registration number<br />ESHFTU00000805600035620500200000000000000HUTB-0029758<br /><br />Barcelona - Regional registration number<br />HUTB-002975,licencia_verificada,True,False,True
399772,1995385.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,3.0,2026-06-12,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,Entire rental unit,2.0,2.0,1.0,True,False,HUTB-001948,HUTB-001948,1,False,195.71,97.86,82.37,€€€,1.188,38,207,Barcelona - Regional registration number<br />HUTB-001948<br /><br />Spain - National registration number<br />ESFCTU000008067000232550000000000000000000HUTB0019485,licencia_verificada,True,False,True
402369,1447144.0,mixto,vivienda_uso_turistico,True,activo,True,,448.0,2025-10-01,Ciutat Vella,el Barri Gòtic,Entire home/apt,Entire rental unit,5.0,2.0,2.0,True,False,HUTB-780063,HUTB-780063,1,False,339.5,67.9,57.15,€€,1.188,1,365,Spain - National registration number<br />ESFCTU00000811900020757800000000000000000HUTB-0780063<br /><br />Barcelona - Regional registration number<br />HUTB-780063,licencia_no_encontrada,True,False,False
408599,2034854.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-09,Sants-Montjuïc,el Poble Sec,Entire home/apt,Entire rental unit,7.0,3.0,1.0,True,False,HUTB-006818,HUTB-006818,1,False,229.0,32.71,27.53,€,1.188,94,252,Barcelona - Regional registration number<br />HUTB-006818<br /><br />Spain - National registration number<br />ESFCTU00000806900015860100000000000000000HUTB-0068181,licencia_verificada,True,False,True
424137,2108468.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,10.0,2026-06-11,Ciutat Vella,el Barri Gòtic,Entire home/apt,Entire serviced apartment,6.0,2.0,1.0,True,False,HUTB-000946,HUTB-000946,1,False,229.5,38.25,32.19,€,1.188,16,85,Spain - National registration number<br />ESFCTU00000811900016994400000000000000HUTB-000946-390<br /><br />Barcelona - Regional registration number<br />HUTB-000946,licencia_verificada,True,False,True
425639,2116153.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-22,Sarrià-Sant Gervasi,el Putxet i el Farró,Entire home/apt,Entire home,8.0,4.0,2.0,True,False,HUTB-007016,HUTB-007016,1,False,680.5,85.06,71.59,€€€,1.188,15,265,Barcelona - Regional registration number<br />HUTB-007016<br /><br />Spain - National registration number<br />ESFCTU0000080630000538430000000000000000HUTB-0070166.,licencia_verificada,True,False,True
432482,898600.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,2.0,2026-06-19,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,4.0,2.0,1.0,True,False,HUTB-005602,HUTB-005602,1,False,297.0,74.25,62.49,€€,1.188,67,259,Barcelona - Regional registration number<br />HUTB-005602<br /><br />Spain - National registration number<br />ESFCTU00000805600070812700000000000000HUTB-005602-754,licencia_verificada,True,False,True
439057,2181314.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,1.0,2026-06-19,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,6.0,2.0,2.0,True,False,HUTB012497,HUTB012497,1,False,234.0,39.0,32.83,€,1.188,47,68,Barcelona - Regional registration number<br />HUTB012497,licencia_verificada,True,False,True
443222,2202284.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,21.0,2026-06-13,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,5.0,2.0,1.0,True,False,HUTB-002983,HUTB-002983,1,False,221.1,44.22,37.22,€,1.188,30,106,Barcelona - Regional registration number<br />HUTB-002983<br /><br />Spain - National registration number<br />ESFCTU00000805800005310800000000000000000000000029832,licencia_verificada,True,False,True
449854,1267680.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,4.0,2026-05-28,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,2.0,1.0,1.0,True,False,HUTB-002370,HUTB-002370,1,False,232.59,116.3,97.89,€€€,1.188,25,298,Spain - National registration number<br />ESFCTU00000805400005855600000000000000000HUTB-0023700<br /><br />Barcelona - Regional registration number<br />HUTB-002370,licencia_verificada,True,False,True
449999,1267680.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,4.0,2026-06-13,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,3.0,1.0,1.0,True,False,HUTB-004205,HUTB-004205,1,False,384.5,128.17,107.88,€€€,1.188,30,312,Barcelona - Regional registration number<br />HUTB-004205<br /><br />Spain - National registration number<br />ESFCTU00000805400008983300000000000000000HUTB-0042055,licencia_verificada,True,False,True
451758,1267680.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,4.0,2026-06-01,Ciutat Vella,el Raval,Entire home/apt,Entire loft,4.0,1.0,1.0,True,False,HUTB-003091,HUTB-003091,1,False,194.25,48.56,40.87,€€,1.188,18,311,Spain - National registration number<br />ESFCTU00000805600067602000000000000000000HUTB-0030917<br /><br />Barcelona - Regional registration number<br />HUTB-003091,licencia_verificada,True,False,True
457195,1405013.0,mixto,vivienda_uso_turistico,True,activo,True,,15.0,2026-06-12,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,6.0,3.0,2.0,True,False,HUTB-004073,HUTB-004073,5,False,381.5,63.58,53.51,€€,1.188,9,224,Barcelona - Regional registration number<br />HUTB-004073<br /><br />Spain - National registration number<br />ESFCTU00B108054000208203000000000000000000HUTB0040730,licencia_verificada,True,False,True
469157,340570.0,sin_anuncios_turisticos,sin_declarar,True,activo,True,,1.0,2026-04-17,Ciutat Vella,el Barri Gòtic,Entire home/apt,Entire condo,4.0,2.0,31.0,True,True,Exempt - seasonal rental,anuncio:469157,1,False,110.93,27.73,23.34,€,1.188,3,243,Spain - National registration number<br />Exempt - tourist apartment<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,True,False,True
469177,1432835.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,43.0,2026-05-31,Sants-Montjuïc,el Poble Sec,Entire home/apt,Entire rental unit,8.0,4.0,2.0,True,False,HUTB-002619,HUTB-002619,1,False,388.0,48.5,40.82,€€,1.188,36,70,Spain - National registration number<br />ESFCTU00000806900023809900000000000000000HUTB-0026198<br /><br />Barcelona - Regional registration number<br />HUTB-002619,licencia_verificada,True,False,True
469710,1995385.0,solo_con_licencia,vivienda_uso_turistico,True,activo,True,,3.0,2026-06-19,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire loft,2.0,1.0,1.0,True,False,HUTB-000381,HUTB-000381,1,False,209.98,104.99,88.37,€€€,1.188,33,208,Barcelona - Regional registration number<br />HUTB-000381<br /><br />Spain - National registration number<br />ESFCTU000008054000216550000000000000000000HUTB-003812,licencia_verificada,True,False,True
472062,2337603.0,mixto,vivienda_uso_turistico,True,activo,True,,4.0,2026-06-21,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,4.0,2.0,1.0,True,False,HUTB-213958,HUTB-213958,1,False,331.0,82.75,69.65,€€,1.188,40,187,Barcelona - Regional registration number<br />HUTB-213958<br /><br />Spain - National registration number<br />ESFCTU000008066000013033900000000000000000HUTB-002139,licencia_no_encontrada,True,False,True
